,Name,Room_Type,Price,Address,Deals,Wifi,Rating,Facilities,Star
0,Hotel Ofelias Hotel 4* Sup,Double or Twin Room,£910,"Llançà, 24, Eixample, 08015 Barcelona, Spain",,0,8.8,"nius discount at Ofelias Hotel 4* Sup! To save at this property, all you have to do is sign in.
Set just off Gran Vía and a 2-minute walk from Plaza Espanya Metro Station and the Fira Exhibition Center, Ofelias Hotel offers stylish rooms with free Wi-Fi. It features a roof terrace with a seasonal outdoor swimming pool.
Each bright, air-conditioned room at Ofelias Hotel has a flat-screen TV. Each one comes with a private bathroom. A free bottle of water is provided upon arrival.
The hotel has an on-site bar where you can get a drink. There is a range of cafes and bars around Plaza Espanya. Restaurants can be found on Las Ramblas and in the Gothic Quarter, just 4 Metro stops away.
Staff at the reception can give you information about different Slow Travel activities .These include free bicycles on request, allowing you to discover hidden places and enjoy local cultures. .
The Magic Fountains and Montjuïc Park are less than 0.6 mi from the Ofelias, and Las Arenas Shopping center is just opposite the hotel. The airport bus stops just 200 yards from the hotel. Bicycle rental is available on request from reception.
This is our guests' favorite part of Barcelona, according to independent reviews.
Couples in particular like the location – they rated it 9.0 for a two-person trip.
We speak your language!
Ofelias Hotel 4* Sup has been welcoming Booking.com guests since Dec 1, 2011
Missing some information? Yes / No",
1,Guesthouse Hostal Casa Chueca,Double or Twin Room,£828,"San Bartolome, 4 - 2º Izquierda, Madrid City Center, 28004 Madrid, Spain",,0,8.9,,
2,"Apartments
Taboga - Adults Only",Apartment - Ground Floor,£877,"Milan, 19, 35100 Playa del Ingles, Spain",,0,9.1,,
3,"Apartments
Tierra Boutique y Tierra Suites Apartamentos",Standard Apartment,"£1,096","Ramon y Cajal, 16, 22630 Biescas, Spain",,0,9.1,,
4,"Apartments
Ramblas Apartments",One-Bedroom Apartment,"£1,448","Las Ramblas 42 - Entrada 1 despacho 2, Ciutat Vella, 08002 Barcelona, Spain",,0,9.0,"celona – Excellent location – show map
You're eligible for a Genius discount at Ramblas Apartments! To save at this property, all you have to do is sign in.
These Modernist apartments enjoy a very central location on Barcelona’s famous Ramblas, within 5 minutes’ walk from Plaza Reial. They have full kitchens and free high-speed WiFi.
Ramblas Apartments all have air conditioning and a lounge and either 1 or 2 bedrooms. They have a bathroom and a kitchen with a hob, fridge and microwave.
The apartments are close to the Gothic Quarter, where you will find plenty of restaurants and tapas bars. You are also within a short walk of many of Barcelona’s main shopping areas, as well as the port. The nearest Metro station is Drassanes, about 5 minutes away.
This is our guests' favorite part of Barcelona, according to independent reviews.
Couples in particular like the location – they rated it 9.7 for a two-person trip.
We speak your language!
Ramblas Apartments has been welcoming Booking.com guests since Aug 19, 2010
Missing some information? Yes / No",
5,Country House Casa Rural Mantxoalorra,Three-Bedroom Townhouse,"£1,110","Manchoalorra 1A, 31680 Ochagavía, Spain",,0,9.4,,
6,"Apartments
Camarotes 17 y 28",Apartment with Sea View,"£1,134","C/ California n°9 , Paseo de las Canteras , 35011 Las Palmas de Gran Canaria, Spain",,0,8.8,,
7,"Vacation Homes
Flatguest Charming House + Pool + Terrace + Views",Double Room with Park View,£983,"Diseminado Tres Palmas 21, 35458 Santa Maria de Guia, Spain",,0,8.2,,
8,"Apartment
Cosy apartment - 4 min walk from the beach - La Tejita El Medano",Two-Bedroom Apartment,£890,"Calle Juan de la cosa 1-parc 15 B2, 3-E, Residencial Las Terrazas, Urbanizacion Sotavento, 38612 La Tejita, Spain",,0,9.3,,
9,"Apartments
Apartamentos Maspalomas Foresta",Apartment with Balcony,£975,"4 Avenida del Oasis, 35100 Maspalomas, Spain",,0,8.1,,
10,Guesthouse ELLA Guest House Barcelona,Double Room with Shared Bathroom,£649,"Girona, 39, Eixample, 08010 Barcelona, Spain",,0,8.5,,
11,"Apartments
Apartamentos Palacio de Vela de los Cobos",Two-Bedroom Apartment,£838,"Calle Juan Montilla, 4, 23400 Úbeda, Spain",,0,9.7,,
12,"Apartment
Estudio Maite",Studio,£349,"Avenida Manuel Mena Palma 4-Maite 3-816, 29630 Málaga, Spain",,0,8.3,,Stars unavailable
